Team 1,Team 2,Score,Map,T1 Atk,T1 Def,T2 Atk,T2 Def,Event,Match,Date,Pick,T1 Ban 1,T1 Ban 2,T1 Ban 3,T1 Ban 4,T2 Ban 1,T2 Ban 2,T2 Ban 3,T2 Ban 4,Veto Start,VOD,T1 RT Start,T1 OT Start,T1 ATK RT,T1 DEF RT,T1 ATK OT,T1 DEF OT,T2 ATK RT,T2 DEF RT,T2 ATK OT,T2 DEF OT
Team BDS,FaZe Clan,9 : 7,Chalet,Montagne,Valkyrie,Deimos,Mozzie,Six Invitational 2025,Grand Final,2025-02-16 20:30:00,T1,Lair,Kafe Dostoyevsky,,,Border,Bank,,,,,atk,atk,4,2,2,1,4,2,1,0
Team BDS,FaZe Clan,5 : 7,Consulate,Blitz,Clash,Dokkaebi,Valkyrie,Six Invitational 2025,Grand Final,2025-02-16 20:30:00,T2,,,,,,,,,,,def,,2,3,,,3,4,,
Team BDS,FaZe Clan,5 : 7,Nighthaven Labs,Ace,Valkyrie,Deimos,Kaid,Six Invitational 2025,Grand Final,2025-02-16 20:30:00,T1,,,,,,,,,,,atk,,1,4,,,2,5,,
Team BDS,FaZe Clan,4 : 7,Clubhouse,Maverick,Valkyrie,Deimos,Kaid,Six Invitational 2025,Grand Final,2025-02-16 20:30:00,T2,,,,,,,,,,,def,,2,2,,,4,3,,
Team BDS,FaZe Clan,0 : 0,Skyscraper,,,,,Six Invitational 2025,Grand Final,2025-02-16 20:30:00,,,,,,,,,,,,,,,,,,,,,
Team BDS,FURIA,7 : 3,Kafe Dostoyevsky,Blackbeard,Mira,Deimos,Valkyrie,Six Invitational 2025,Upper Bracket Final,2025-02-14 21:45:00,T2,Border,Lair,Chalet,,Nighthaven Labs,Consulate,Skyscraper,,T2,https://youtu.be/siuIAG62ZHE?si=KWxKQsShE8PzVPkD&t=24587,def,,4,3,,,3,0,,
Team BDS,FURIA,8 : 6,Bank,Ying,Mira,Deimos,Valkyrie,Six Invitational 2025,Upper Bracket Final,2025-02-14 21:45:00,T1,,,,,,,,,T2,https://youtu.be/siuIAG62ZHE?si=MEFO0nbsiiFrUWHj&t=27960,atk,atk,3,3,1,1,3,3,0,0
Team BDS,FURIA,0 : 0,Clubhouse,,,,,Six Invitational 2025,Upper Bracket Final,2025-02-14 21:45:00,Dec.,,,,,,,,,T2,,,,,,,,,,,
Team BDS,Spacestation Gaming,4 : 7,Border,Blitz,Vigil,Montagne,Fenrir,Six Invitational 2025,Upper Bracket Semifinals,2025-02-11 17:30:00,T2,Kafe Dostoyevsky,Lair,Chalet,,Skyscraper,Clubhouse,Consulate,,T2,https://youtu.be/PqeVSZEaVfI?si=S4ewbzlZQ9V9va-T&t=33,def,,2,2,,,4,3,,
Team BDS,Spacestation Gaming,7 : 4,Bank,Montagne,Azami,Deimos,Valkyrie,Six Invitational 2025,Upper Bracket Semifinals,2025-02-11 17:30:00,T1,,,,,,,,,T2,https://youtu.be/PqeVSZEaVfI?si=ghp-Wh5gt5RiM-vK&t=3485,def,,3,4,,,2,2,,
Team BDS,Spacestation Gaming,7 : 1,Nighthaven Labs,Blitz,Castle,Montagne,Valkyrie,Six Invitational 2025,Upper Bracket Semifinals,2025-02-11 17:30:00,Dec.,,,,,,,,,T2,https://youtu.be/PqeVSZEaVfI?si=77hxU6bIqRXaq19z&t=7283,def,,2,5,,,1,0,,
Team BDS,Unwanted,7 : 1,Clubhouse,Montagne,Tubarão,Maverick,Kaid,Six Invitational 2025,Upper Bracket Quarterfinals,2025-02-09 21:30:00,T2,Kafe Dostoyevsky,Lair,Nighthaven Labs,,Skyscraper,Bank,Chalet,,T2,https://youtu.be/hrIG2z7jwQI?si=1wWKkfrIoE0er3l7&t=36,def,,2,5,,,1,0,,
Team BDS,Unwanted,5 : 7,Consulate,Blackbeard,Kaid,Deimos,Valkyrie,Six Invitational 2025,Upper Bracket Quarterfinals,2025-02-09 21:30:00,T1,,,,,,,,,T2,https://youtu.be/hrIG2z7jwQI?si=wCB6e5v7ME4G0txe&t=2647,atk,,3,2,,,4,3,,
Team BDS,Unwanted,7 : 5,Border,Blitz,Mira,Deimos,Valkyrie,Six Invitational 2025,Upper Bracket Quarterfinals,2025-02-09 21:30:00,Dec.,,,,,,,,,T2,https://youtu.be/hrIG2z7jwQI?si=gcUBBlm8IesNlbqm&t=6417,atk,,3,4,,,2,3,,
PSG Talon,Team BDS,7 : 8,Lair,Montagne,Azami,Blitz,Mira,Six Invitational 2025 - GS,,2025-02-07 15:00:00,T1,Skyscraper,Kafe Dostoyevsky,Bank,,Clubhouse,Border,Consulate,,T1,https://www.youtube.com/watch?v=CThIso1A0JY,atk,def,1,5,0,1,1,5,1,1
PSG Talon,Team BDS,7 : 5,Chalet,Deimos,Valkyrie,Blitz,Azami,Six Invitational 2025 - GS,,2025-02-07 15:00:00,T2,,,,,,,,,T1,https://youtu.be/CThIso1A0JY?si=MOH4TZCyTC55V5Y2&t=4738,atk,,4,3,,,3,2,,
